Hands,Bets,Rank,Enumeration,Wins
KJKJK,186,5,899,185628
QQQJJ,688,5,898,685936
Q88QQ,353,5,897,285577
Q555Q,787,5,896,635896
Q444Q,598,5,895,482586
TQTQQ,938,5,894,755090
TTAAA,921,5,893,739563
TT444,865,5,892,693730
T999T,878,5,891,703278
9K99K,515,5,890,411485
99AA9,826,5,889,659148
999QQ,943,5,888,751571
99933,252,5,887,200592
99777,568,5,886,451560
96966,626,5,885,497044
94499,864,5,884,685152
9J9J9,679,5,883,674247
8AA8A,968,5,882,765688
8KKK8,332,5,881,262280
89889,780,5,880,615420
88844,78,5,879,61464
86668,984,5,878,774408
84484,25,5,877,19650
8J88J,742,5,876,735322
7Q7Q7,953,5,875,745246
78788,225,5,874,175725
77KKK,291,5,873,226980
77TT7,834,5,872,649686
74474,347,5,871,269272
73377,54,5,870,41850
67767,35,5,869,27020
66776,89,5,868,68619
666QQ,994,5,867,765380
62226,762,5,866,584454
5TT55,538,5,865,410494
59595,913,5,864,695706
58855,74,5,863,56314
57755,42,5,862,31920
56565,879,5,861,667161
55AAA,805,5,860,610190
55QQQ,692,5,859,523844
555AA,964,5,858,728784
55454,547,5,857,412985
55335,869,5,856,655226
55225,942,5,855,709326
55JJ5,815,5,854,804405
53353,956,5,853,718912
52522,868,5,852,651868
4TTT4,665,5,851,497420
49494,455,5,850,339885
47774,299,5,849,223054
44KK4,357,5,848,265965
44QQQ,605,5,847,450120
44646,327,5,846,242961
44222,445,5,845,330190
43343,755,5,844,559455
4J44J,328,5,843,323408
4JJ4J,177,5,842,130449
33QQQ,438,5,841,321492
33TTT,915,5,840,670695
33993,609,5,839,445788
33666,260,5,838,190060
33444,659,5,837,481070
333TT,593,5,836,432297
333JJ,406,5,835,399910
2QQ22,491,5,834,356466
29992,804,5,833,582096
27272,313,5,832,225986
23232,694,5,831,500374
22828,140,5,830,100800
22777,124,5,829,89156
JAAAJ,188,5,828,184804
JAJJA,681,5,827,488277
JKKJJ,60,5,826,42960
JTTJT,488,5,825,479216
J666J,312,5,824,306072
J22J2,587,5,823,574086
JJ777,265,5,822,258905
JJ5J5,565,5,821,402845
JJ33J,396,5,820,281952
AAAK6,362,4,819,257382
AAAJ5,689,4,818,671086
AA7AT,240,4,817,170160
AKATA,640,4,816,453120
AKKK8,389,4,815,275023
AQA4A,470,4,814,331820
AQJQQ,61,4,813,59231
A9299,437,4,812,308085
A8AA2,651,4,811,458304
A777Q,136,4,810,95608
A6AA2,845,4,809,593190
A5552,882,4,808,618282
A55J5,729,4,807,706401
A4A5A,207,4,806,144900
A33J3,258,4,805,249486
A32AA,549,4,804,383202
A2722,248,4,803,172856
AJA8A,529,4,802,511014
AJ888,419,4,801,404335
KKAQK,443,4,800,307442
KKK98,460,4,799,318780
KKK46,934,4,798,646328
KTJKK,32,4,797,30624
K9K5K,721,4,796,498211
K4KAK,408,4,795,279888
K4944,222,4,794,152070
K3K9K,150,4,793,102600
QAQ8Q,239,4,792,162281
QQAQ4,451,4,791,305778
QQQA2,983,4,790,665491
QQ5QJ,255,4,789,242250
QQ4KQ,848,4,788,573248
QQ2QJ,72,4,787,68328
QTAQQ,718,4,786,483214
QT777,995,4,785,668640
Q9AQQ,809,4,784,542839
Q88K8,369,4,783,247230
Q8838,752,4,782,503088
Q8333,758,4,781,506344
Q222K,875,4,780,582750
Q222T,157,4,779,104405
QJAAA,902,4,778,854194
TAAA9,588,4,777,387492
TA6AA,987,4,776,649446
TKTTJ,502,4,775,473888
TQQQK,746,4,774,490122
TTQJT,912,4,773,858192
TTTK8,44,4,772,28864
TT5T9,420,4,771,275100
TT56T,518,4,770,338772
TT35T,591,4,769,385923
T6T3T,241,4,768,156409
T4T9T,831,4,767,538488
T444A,594,4,766,383724
T4449,342,4,765,220590
TJATT,936,4,764,872352
TJTT9,425,4,763,395675
TJT3T,447,4,762,415710
9Q949,636,4,761,408312
999A6,156,4,760,99996
999A5,559,4,759,357760
999T7,999,4,758,638361
99974,590,4,757,376420
9993Q,991,4,756,631267
98979,230,4,755,146050
97Q99,26,4,754,16458
97737,161,4,753,101752
95355,797,4,752,501313
94299,358,4,751,224824
94222,564,4,750,353628
93334,792,4,749,495792
93233,521,4,748,325625
9J993,281,4,747,258520
9J899,535,4,746,491665
8KKTK,448,4,745,278656
8KJKK,267,4,744,245106
8Q886,93,4,743,57660
8TT9T,508,4,742,314452
8T8K8,576,4,741,355968
8T88Q,29,4,740,17893
888A6,584,4,739,359160
887A8,997,4,738,612158
88783,520,4,737,318760
88JQ8,344,4,736,313728
86667,892,4,735,544120
85K88,331,4,734,201579
85535,601,4,733,365408
84244,958,4,732,580548
8388T,926,4,731,560230
833A3,290,4,730,175160
8JT88,571,4,729,518468
8J444,917,4,728,831719
7AAKA,684,4,727,411768
7AA2A,305,4,726,183305
7K7Q7,275,4,725,165000
7K797,407,4,724,243793
7TT6T,837,4,723,500526
79T77,581,4,722,346857
79772,65,4,721,38740
778A7,411,4,720,244134
7757T,385,4,719,228305
77JQ7,596,4,718,536996
77J79,786,4,717,707400
75A55,562,4,716,332704
75565,141,4,715,83331
74K44,128,4,714,75520
74484,829,4,713,488281
74J44,813,4,712,729261
73747,973,4,711,572124
7J477,105,4,710,94080
6A5AA,110,4,709,64460
6QA66,840,4,708,491400
6QQQ3,399,4,707,233016
6QT66,171,4,706,99693
696A6,542,4,705,313276
6777K,725,4,704,417600
66A86,64,4,703,36800
66865,708,4,702,406392
6686J,14,4,701,12530
666AT,811,4,700,464703
6665Q,700,4,699,400400
6664K,337,4,698,192427
66637,58,4,697,33060
66496,944,4,696,537136
66JA6,381,4,695,338709
65662,909,4,694,516312
65552,738,4,693,418446
63888,818,4,692,461352
6JJJ9,506,4,691,283866
5KK6K,68,4,690,38080
5K8KK,195,4,689,109005
5TT8T,134,4,688,74638
5T333,91,4,687,50596
58955,739,4,686,410145
57QQQ,277,4,685,153181
56646,367,4,684,202584
557J5,167,4,683,147461
5565J,484,4,682,426888
552K5,182,4,681,100282
53222,889,4,680,488950
5J333,927,4,679,813906
499J9,87,4,678,76212
49446,412,4,677,224952
48Q88,1000,4,676,545000
44Q45,504,4,675,274176
444J3,690,4,674,600990
44JK4,472,4,673,410640
43AAA,914,4,672,496302
42822,304,4,671,164768
3A3K3,231,4,670,124971
3QQQJ,366,4,669,317322
38K88,806,4,668,432016
373Q3,791,4,667,422394
33T38,168,4,666,89208
33732,630,4,665,333900
333J6,519,4,664,446340
33238,812,4,663,428736
33J3K,293,4,662,251394
32633,911,4,661,479186
32242,202,4,660,106050
2K522,149,4,659,77480
2QQ8Q,569,4,658,294742
2Q7QQ,828,4,657,428076
25229,614,4,656,316210
252J2,814,4,655,695970
23272,415,4,654,213310
23J33,612,4,653,522648
22Q82,57,4,652,29241
22267,417,4,651,213504
22J62,428,4,650,364228
2J922,315,4,649,267750
JAAAT,821,4,648,697029
JKKAK,561,4,647,475728
JKK6K,5,4,646,4235
JQQ6Q,779,4,645,659034
J999Q,493,4,644,416585
J7577,899,4,643,758756
J6444,599,4,642,504957
J6266,876,4,641,737592
J5955,667,4,640,560947
J58JJ,19,4,639,9481
J55K5,264,4,638,221760
J4AAA,935,4,637,784465
J3Q33,830,4,636,695540
J3J5J,370,4,635,183520
J2888,744,4,634,622728
J2422,527,4,633,440572
J22A2,15,4,632,12525
J2223,704,4,631,587136
JJ28J,314,4,630,155430
AAKK2,680,3,629,335920
AA9T9,481,3,628,237133
AA636,250,3,627,123000
ATATQ,895,3,626,439445
A6AT6,71,3,625,34790
A44A5,145,3,624,70905
A447A,931,3,623,454328
A22AK,50,3,622,24350
AJTAT,144,3,621,118656
KAAJK,634,3,620,521782
KA22K,31,3,619,15066
KAJKJ,924,3,618,889812
KK686,771,3,617,373935
KK66Q,377,3,616,182468
K93K9,232,3,615,112056
K76K6,48,3,614,23136
K5KJ5,296,3,613,241240
K5566,343,3,612,164983
K363K,618,3,611,296640
K33KT,376,3,610,180104
K2KJ2,482,3,609,391384
K228K,898,3,608,429244
K2266,528,3,607,251856
KJQKQ,894,3,606,725034
QA4A4,683,3,605,325108
QK7QK,720,3,604,342000
QQ877,308,3,603,145992
QQ676,922,3,602,436106
QQ339,388,3,601,183136
QQJ44,825,3,600,668250
QT33T,509,3,599,239739
Q72Q7,242,3,598,113740
Q72Q2,163,3,597,76447
Q2KQK,950,3,596,444600
QJQ77,932,3,595,751192
QJQ4J,862,3,594,815452
TQJQT,434,3,593,348936
TT9K9,334,3,592,155978
TT996,563,3,591,262358
TT5AA,36,3,590,16740
T77QT,108,3,589,50112
T779T,631,3,588,292153
T68T6,817,3,587,377454
T577T,390,3,586,179790
T3T44,855,3,585,393300
T22JJ,500,3,584,466500
TJT77,663,3,583,530400
TJ44J,832,3,582,381888
TJJT9,773,3,581,718117
9ATAT,537,3,580,245946
9KK9T,654,3,579,298878
9KK97,560,3,578,255360
9QQ97,597,3,577,271635
9Q66Q,17,3,576,7718
995TT,733,3,575,332049
99353,158,3,574,71416
9922A,881,3,573,397331
98894,24,3,572,10800
97AA9,530,3,571,237970
96869,83,3,570,37184
95TT5,351,3,569,156897
94J9J,916,3,568,844552
92AA9,111,3,567,49506
9JT9T,577,3,566,456984
9J9QJ,677,3,565,623517
8A8A3,246,3,564,109470
8A228,40,3,563,17760
89A8A,47,3,562,20821
88TQT,551,3,561,243542
88636,954,3,560,420714
8833T,43,3,559,18920
88JJ2,492,3,558,448212
868KK,257,3,557,112823
85599,159,3,556,69642
84824,403,3,555,176111
848JJ,553,3,554,503230
82J28,13,3,553,10205
8JAA8,658,3,552,515872
7A97A,235,3,551,102460
7AJA7,767,3,550,600561
7T47T,278,3,549,120930
77595,256,3,548,111104
7733T,160,3,547,69280
77JJ4,433,3,546,389267
767J6,386,3,545,300308
76276,422,3,544,182304
76262,130,3,543,56030
75K75,687,3,542,295410
75Q5Q,311,3,541,133419
75758,297,3,540,127116
75J57,49,3,539,38073
72672,946,3,538,403942
7JQJQ,877,3,537,373602
6AA6K,580,3,536,246500
6K6KJ,714,3,535,552636
6TT76,982,3,534,416368
699J6,285,3,533,220305
696K9,961,3,532,406503
69639,355,3,531,149810
669KK,727,3,530,306067
66955,127,3,529,53340
6622J,945,3,528,726705
66JTT,498,3,527,382464
65336,183,3,526,76677
646K4,706,3,525,295108
63673,766,3,524,319422
63622,116,3,523,48256
63326,302,3,522,125330
6J6QQ,8,3,521,6128
6J644,836,3,520,639540
6JJ6A,115,3,519,102005
5A5AJ,533,3,518,407212
5QQ53,531,3,517,219834
5Q775,586,3,516,242018
5Q588,853,3,515,351436
5TT58,971,3,514,399081
5T445,263,3,513,107830
58JJ8,789,3,512,698265
55K33,383,3,511,156647
55Q99,354,3,510,144432
5566T,652,3,509,265364
55228,880,3,508,357280
53J5J,371,3,507,326109
52885,10,3,506,4050
5252Q,169,3,505,68276
5J522,462,3,504,346500
5J454,726,3,503,543774
4A334,3,3,502,1209
4Q5Q4,101,3,501,40602
4T499,750,3,500,300750
49A49,734,3,499,293600
47AA7,730,3,498,291270
44QKQ,201,3,497,79998
44737,794,3,496,315218
43J34,151,3,495,111740
42J42,558,3,494,412362
4J774,421,3,493,310698
4J4JK,404,3,492,350672
3A83A,449,3,491,177804
3K3QK,166,3,490,65570
3TT22,379,3,489,149326
3939J,573,3,488,421728
38873,650,3,487,255450
38484,339,3,486,132888
37837,458,3,485,179078
36436,66,3,484,25740
34838,512,3,483,199168
34J4J,974,3,482,842510
33AAJ,224,3,481,164640
33TAA,99,3,480,38412
32Q23,298,3,479,115326
3JT3T,203,3,478,147784
3J322,259,3,477,188293
2QQ2J,107,3,476,77575
2QJJQ,333,3,475,285381
2TT62,517,3,474,199562
299J2,219,3,473,158337
288Q2,870,3,472,334950
28268,469,3,471,180096
282JJ,345,3,470,295320
26446,613,3,469,234779
255TT,429,3,468,163878
24K24,22,3,467,8382
244Q2,446,3,466,169480
23288,693,3,465,262647
22AQQ,959,3,464,362502
22T7T,972,3,463,366444
229AA,975,3,462,366600
22383,905,3,461,339375
22335,743,3,460,277882
2JTT2,146,3,459,104828
JAA3J,741,3,458,276393
J8844,854,3,457,610610
J6JQQ,678,3,456,252216
J4J49,976,3,455,362096
J3773,653,3,454,466242
JJ393,632,3,453,233840
AAQJK,477,2,452,338670
AA847,655,2,451,241695
AA372,763,2,450,280784
AT6J3,454,2,449,166618
AT525,479,2,448,175314
A9K44,666,2,447,243090
A8298,95,2,446,34580
A7T78,783,2,445,284229
A75QA,234,2,444,84708
A567A,647,2,443,233567
A4QJ6,45,2,442,16200
A463A,918,2,441,329562
A3K38,606,2,440,216948
A355J,430,2,439,300570
A23J7,705,2,438,251685
AJQ87,38,2,437,13528
AJTKT,249,2,436,173304
AJ28T,349,2,435,123895
KAKJT,709,2,434,492755
KA5TK,600,2,433,212400
KA3KQ,937,2,432,330761
KQ52Q,214,2,431,75328
K94J8,769,2,430,269919
K93JK,463,2,429,319470
K84J4,374,2,428,257686
K744Q,237,2,427,82950
K6778,205,2,426,71545
K63J9,164,2,425,57072
K54K7,348,2,424,120756
K5J9K,325,2,423,223600
K5J45,719,2,422,493953
K4824,703,2,421,243238
K33J6,662,2,420,452146
K3JQA,2,2,419,690
K3J37,985,2,418,671770
K2K3T,70,2,417,24080
K289K,695,2,416,238385
KJK3T,698,2,415,475338
KJ964,760,2,414,259920
KJ635,532,2,413,181412
KJ54K,88,2,412,59840
QAA7T,671,2,411,228140
QA86Q,872,2,410,295608
QA4TA,192,2,409,64896
QK45J,540,2,408,181980
QQ4JT,473,2,407,319275
QQJK7,321,2,406,216354
QTAA9,478,2,405,160608
QT7Q9,135,2,404,45225
QT788,939,2,403,313626
Q8Q3T,63,2,402,20979
Q5433,486,2,401,161352
Q3A44,53,2,400,17543
Q3JT5,823,2,399,271590
Q266J,633,2,398,422211
Q2429,453,2,397,149037
QJT55,329,2,396,218456
QJ886,280,2,395,185640
QJ699,307,2,394,203234
QJ557,510,2,393,337110
QJ424,114,2,392,75240
TAQ99,112,2,391,36736
TA899,656,2,390,214512
TKKA8,715,2,389,233090
TKT2A,368,2,388,119600
TT7KQ,378,2,387,122472
TT5A8,138,2,386,44574
T977J,516,2,385,336432
T8KK5,216,2,384,69552
T8T5J,147,2,383,95697
T882J,338,2,382,219700
T8227,885,2,381,284085
T728T,701,2,380,224320
T64T8,897,2,379,286143
T6JK5,969,2,378,308142
T4A8J,858,2,377,271986
T4TJQ,106,2,376,68582
T4432,46,2,375,14536
T4322,628,2,374,197820
T4JJ3,185,2,373,58090
T3565,582,2,372,182166
T3JK8,301,2,371,93912
T2AJ4,409,2,370,127199
T2JQ2,722,2,369,464968
TJ783,39,2,368,12090
TJ6AQ,735,2,367,227115
TJ277,365,2,366,234695
9A972,208,2,365,64064
9A7TA,843,2,364,258801
9QKAQ,79,2,363,24174
997AQ,552,2,362,168360
99J6K,137,2,361,87132
97AJA,785,2,360,497690
97KJ6,610,2,359,185440
96AJ3,398,2,358,120594
966J7,802,2,357,506062
96J56,271,2,356,170730
94JQK,988,2,355,298376
936JQ,483,2,354,145383
92QJ8,397,2,353,119100
9J53T,175,2,352,52325
9J533,28,2,351,17472
9J488,557,2,350,347011
8KAKQ,648,2,349,193104
8KQ86,346,2,348,102762
8QAJJ,497,2,347,147112
8QQ2J,838,2,346,520398
8Q744,998,2,345,294410
8TQJ3,641,2,344,188454
8TJTK,468,2,343,288288
88Q73,251,2,342,73543
88J97,800,2,341,489600
87KK5,757,2,340,221044
87QJ7,196,2,339,119756
87839,23,2,338,6693
86A67,675,2,337,195750
868A9,947,2,336,273683
85AQJ,283,2,335,81504
852J7,253,2,334,72611
84K3K,629,2,333,179894
8486J,768,2,332,466176
845J3,59,2,331,16815
83869,645,2,330,183180
82T58,392,2,329,110936
8JT75,405,2,328,114210
8J829,860,2,327,518580
7K43J,410,2,326,115210
7QA5J,306,2,325,85680
7QTT8,300,2,324,83700
7Q247,11,2,323,3058
7TQ3T,710,2,322,196670
7T837,303,2,321,83628
7T78K,364,2,320,100100
796J9,776,2,319,461720
75882,435,2,318,119190
74TTQ,97,2,317,26481
74T24,1,2,316,272
733A8,819,2,315,221949
7JAJ2,856,2,314,231120
6AAK5,903,2,313,242907
6A8JA,9,2,312,5283
6A65K,197,2,311,52796
6A4TA,254,2,310,67818
6K8J7,118,2,309,31388
6QJK6,494,2,308,287508
6QJQ3,873,2,307,507213
6QJ44,544,2,306,315520
6TA6Q,871,2,305,230815
6T252,226,2,304,59664
6TJ96,820,2,303,474780
69AK9,567,2,302,149121
6959K,363,2,301,95106
69JJ3,893,2,300,233073
6869Q,611,2,299,158860
68JK8,109,2,298,62893
67229,790,2,297,204610
66538,896,2,296,231168
65J75,761,2,295,430726
65J62,732,2,294,413580
6368T,27,2,293,6939
63328,960,2,292,245760
632A3,199,2,291,50745
62A65,963,2,290,244602
629KJ,416,2,289,105248
6JTQ6,85,2,288,47855
6J7KJ,770,2,287,194040
6J737,839,2,286,471518
5A8JJ,7,2,285,1757
5K57J,796,2,284,444168
5K33T,555,2,283,138750
5TQ8Q,143,2,282,35607
5T564,967,2,281,239816
5T45Q,318,2,280,78546
5998Q,992,2,279,244032
5865K,615,2,278,150675
58289,904,2,277,220576
582J9,627,2,276,152361
58J8A,341,2,275,188914
58J6T,452,2,274,109384
57QJ2,579,2,273,139539
57549,592,2,272,142080
56T58,476,2,271,113764
5692J,21,2,270,4998
56JQK,424,2,269,100488
55A32,471,2,268,111156
55K3T,152,2,267,35720
53T9T,414,2,266,96876
532AA,384,2,265,89472
52K9K,980,2,264,227360
5JA96,702,2,263,162162
5J7Q6,270,2,262,62100
5J6T5,778,2,261,427122
5J2T2,949,2,260,520052
4A234,572,2,259,130988
4K559,993,2,258,226404
4QKKT,603,2,257,136881
4QKJJ,795,2,256,179670
4Q82Q,287,2,255,64575
4Q4J9,324,2,254,177228
4T53T,646,2,253,144704
4T493,189,2,252,42147
49T88,541,2,251,120102
48K45,575,2,250,127075
484A6,716,2,249,157520
48J6Q,67,2,248,14673
47762,550,2,247,119900
47J8K,162,2,246,35154
45226,261,2,245,56376
443K6,268,2,244,57620
438K8,133,2,243,28462
4299K,193,2,242,41109
42877,96,2,241,20352
42JJ9,286,2,240,60346
4JKQ6,664,2,239,139440
4JK3T,920,2,238,192280
3AT43,874,2,237,181792
3KA22,835,2,236,172845
3K9J4,360,2,235,74160
3K6QQ,94,2,234,19270
3K566,505,2,233,103020
3K43J,181,2,232,97740
3KJQ3,685,2,231,369215
3Q5JJ,350,2,230,71050
3TK3J,608,2,229,327104
3T263,756,2,228,152712
398A8,310,2,227,62310
393J8,827,2,226,444099
39JQ8,319,2,225,63800
38696,320,2,224,63680
3828J,316,2,223,169060
38JAK,748,2,222,148104
37828,279,2,221,54963
376A7,781,2,220,153076
3722T,391,2,219,76245
36KK9,457,2,218,88658
36T6K,294,2,217,56742
3667J,102,2,216,54366
3664T,940,2,215,180480
36J68,148,2,214,78736
35AKJ,682,2,213,130262
35JQ9,951,2,212,180690
335J2,450,2,211,238050
33J9K,846,2,210,445842
32JA6,335,2,209,63315
3JQ3A,326,2,208,170824
3J787,359,2,207,187757
3J265,574,2,206,107912
3JJT6,77,2,205,14399
2A8AT,847,2,204,157542
2A52J,816,2,203,425952
2AJ47,644,2,202,119140
2K6KJ,859,2,201,447539
2K337,977,2,200,179768
2K2J3,179,2,199,92901
2Q997,289,2,198,52887
2TQT5,765,2,197,139230
2T6T5,522,2,196,94482
29JT5,204,2,195,36720
29J45,996,2,194,178284
28JK3,850,2,193,151300
27TQT,507,2,192,89739
27873,69,2,191,12144
277KJ,55,2,190,28380
2779T,566,2,189,99050
26AKK,474,2,188,82476
26J4K,624,2,187,107952
253KK,676,2,186,116272
2334Q,439,2,185,75069
2JQ64,139,2,184,23630
2J4K5,842,2,183,142298
JAAQ9,623,2,182,318353
JAK59,784,2,181,15680
JA788,459,2,180,234090
JA46J,798,2,179,134064
JKJ63,890,2,178,148630
JT938,981,2,177,18639
JT8A6,184,2,176,3312
JT88A,810,2,175,412290
JT6T2,545,2,174,276860
JT5K8,929,2,173,15793
J9K66,12,2,172,6084
J9QK5,292,2,171,4672
J9855,284,2,170,143704
J98J3,336,2,169,55776
J935A,431,2,168,6465
J8673,103,2,167,1442
J8277,100,2,166,50500
J826A,863,2,165,11219
J8JKQ,6,2,164,990
J77K4,309,2,163,155736
J742T,799,2,162,9588
J6879,117,2,161,1287
J66T4,928,2,160,466784
J65KA,764,2,159,7640
J6335,142,2,158,71284
J6225,401,2,157,200901
J5Q2K,322,2,156,2898
J5TQ9,660,2,155,5280
J595K,276,2,154,138000
J57J2,172,2,153,28208
J5693,589,2,152,4123
J4K7K,712,2,151,354576
J4Q9A,323,2,150,1938
J4596,867,2,149,4335
J4532,41,2,148,164
J4389,979,2,147,2937
J3T99,622,2,146,309134
J3869,82,2,145,164
J2783,723,2,144,723
J25J4,76,2,143,12388
JJA95,380,2,142,61560
JJQ42,857,2,141,137977
JJ548,272,2,140,43520
AK48T,243,1,139,38637
AQ763,595,1,138,94010
A9K63,34,1,137,5338
A9Q74,155,1,136,24180
A8T24,475,1,135,73625
A85T2,80,1,134,12320
A7T95,465,1,133,71145
A7853,16,1,132,2432
A752Q,672,1,131,101472
A6834,273,1,130,40950
A3T5K,891,1,129,132759
A3954,244,1,128,36112
A3647,625,1,127,91875
A3629,153,1,126,22338
A2T36,833,1,125,120785
A28T6,187,1,124,26928
KA64T,395,1,123,56485
KQ937,697,1,122,98974
K96T8,548,1,121,77268
K87Q5,180,1,120,25200
K8267,884,1,119,122876
K8239,238,1,118,32844
K6352,487,1,117,66719
K3T65,113,1,116,15368
K2TQA,774,1,115,104490
QAT94,132,1,114,17688
QA79K,526,1,113,69958
QT3KA,200,1,112,26400
Q96T2,699,1,111,91569
Q8TK9,808,1,110,105040
Q82K5,691,1,109,89139
Q6579,126,1,108,16128
Q5982,604,1,107,76708
Q4257,989,1,106,124614
TA596,635,1,105,79375
TA39K,461,1,104,57164
TA376,480,1,103,59040
TK9A8,485,1,102,59170
TK852,104,1,101,12584
TK659,824,1,100,98880
T9A26,262,1,99,31178
T9432,426,1,98,50268
T5K8A,670,1,97,78390
T4Q59,382,1,96,44312
T3598,30,1,95,3450
9KT7Q,511,1,94,58254
9K7Q2,211,1,93,23843
9QAK5,923,1,92,103376
97Q6T,803,1,91,89133
9628A,81,1,90,8910
9586T,844,1,89,91996
94Q68,129,1,88,13932
924QK,288,1,87,30816
8AQ74,213,1,86,22578
8A45T,948,1,85,99540
8K3QA,75,1,84,7800
8QT67,711,1,83,73233
8Q594,90,1,82,9180
8TQ27,4,1,81,404
8T39A,495,1,80,49500
89A34,955,1,79,94545
89247,883,1,78,86534
87Q5T,749,1,77,72653
879A6,18,1,76,1728
876K3,607,1,75,57665
84TAQ,387,1,74,36378
83A5K,807,1,73,75051
7K8T5,970,1,72,89240
7K5QT,978,1,71,88998
7TK6Q,886,1,70,79740
7862T,753,1,69,67017
76TAK,617,1,68,54296
7698Q,583,1,67,50721
76853,986,1,66,84796
7543T,206,1,65,17510
74QT5,852,1,64,71568
74T52,637,1,63,52871
74329,221,1,62,18122
72T5K,247,1,61,20007
7285A,578,1,60,46240
6A4T5,165,1,59,13035
6K4Q8,849,1,58,66222
6K257,228,1,57,17556
6QA9T,570,1,56,43320
6T52Q,657,1,55,49275
6T3AK,661,1,54,48914
697KT,524,1,53,38252
693QA,218,1,52,15696
682A5,728,1,51,51688
67594,467,1,50,32690
65K7A,717,1,49,49473
64QK7,191,1,48,12988
638T9,966,1,47,64722
62573,772,1,46,50952
5AQ82,340,1,45,22100
5A683,907,1,44,58048
5927A,621,1,43,39123
58K24,466,1,42,28892
57932,957,1,41,58377
574A9,442,1,40,26520
56429,98,1,39,5782
52Q49,707,1,38,41006
529K6,236,1,37,13452
4Q69T,52,1,36,2912
4Q372,525,1,35,28875
4T25A,423,1,34,22842
48726,782,1,33,41446
47K83,536,1,32,27872
47T62,393,1,31,20043
479Q2,731,1,30,36550
4753Q,209,1,29,10241
469TA,965,1,28,46320
45K62,674,1,27,31678
43962,51,1,26,2346
3A9Q5,215,1,25,9675
3KT64,245,1,24,10780
3K695,801,1,23,34443
3K2QA,274,1,22,11508
39A74,941,1,21,38581
39A2T,523,1,20,20920
38Q65,619,1,19,24141
385K9,217,1,18,8246
37QTA,747,1,17,27639
3792Q,602,1,16,21672
36TA8,906,1,15,31710
36874,356,1,14,12104
35KQT,233,1,13,7689
32A95,925,1,12,29600
2A8Q7,361,1,11,11191
2K5A3,154,1,10,4620
2QTK5,456,1,9,13224
2Q4A9,198,1,8,5544
29KTA,173,1,7,4671
2976A,227,1,6,5902
275Q9,84,1,5,2100
27354,266,1,4,6384
25Q73,352,1,3,8096
2567Q,176,1,2,3872
2468T,910,1,1,19110
